,Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,PuntResult,PlayType,Passer,PassAttempt,PassOutcome,PassLength,PassLocation,InterceptionThrown,Interceptor,Rusher,RushAttempt,RunLocation,RunGap,Receiver,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,Season
460,9/10/15,2015091000,2,1,4,7:48,8,3168,34,PIT,43,43,10,23,0,1,NE,PIT,"(7:48) R.Allen punts 36 yards to PIT 7, Center-J.Cardona, fair catch by A.Brown.",1,0,0,0,NA,NA,NA,0,Clean,Punt,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,Fair Catch,A.Brown,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
479,9/10/15,2015091000,3,1,1,7:41,8,3161,7,PIT,7,93,10,6,0,0,PIT,NE,(7:41) De.Williams left guard to PIT 13 for 6 yards (A.Branch; G.Grissom).,1,6,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,A.Branch,1,left,guard,NA,0,NA,NA,NA,A.Branch,G.Grissom,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
500,9/10/15,2015091000,3,1,2,7:07,8,3127,34,PIT,13,87,4,5,0,0,PIT,NE,(7:07) De.Williams left tackle to PIT 12 for -1 yards (C.Jones).,1,-1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,C.Jones,1,left,tackle,NA,0,NA,NA,NA,C.Jones,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
521,9/10/15,2015091000,3,1,3,6:26,7,3086,41,PIT,12,88,5,15,0,1,PIT,NE,(6:26) (Shotgun) B.Roethlisberger pass short left to A.Brown pushed ob at PIT 22 for 10 yards (D.McCourty).,1,10,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Short,left,0,NA,NA,0,NA,NA,A.Brown,1,NA,NA,NA,D.McCourty,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
550,9/10/15,2015091000,3,1,1,5:54,6,3054,32,PIT,22,78,10,10,0,1,PIT,NE,"(5:54) De.Williams right guard to PIT 26 for 4 yards (R.Ninkovich). PENALTY on PIT-K.Beachum, Illegal Formation, 5 yards, enforced at PIT 22 - No Play.",1,4,0,0,NA,NA,NA,0,NA,No Play,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,R.Ninkovich,NA,NA,NA,0,NA,NA,0,0,NA,1,PIT,Illegal Formation,K.Beachum,5,0,0,0,0,2015
582,9/10/15,2015091000,3,1,1,5:29,6,3029,25,PIT,17,83,15,13,0,0,PIT,NE,(5:29) (Shotgun) B.Roethlisberger pass short right to A.Brown to PIT 20 for 3 yards (J.Collins).,1,3,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Short,right,0,NA,NA,0,NA,NA,A.Brown,1,NA,NA,NA,J.Collins,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
606,9/10/15,2015091000,3,1,2,4:48,5,2988,41,PIT,20,80,12,7,0,0,PIT,NE,(4:48) B.Roethlisberger sacked at PIT 14 for -6 yards (D.Hightower).,1,-6,0,0,NA,NA,NA,0,NA,Sack,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,D.Hightower,NA,NA,NA,0,NA,NA,1,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
625,9/10/15,2015091000,3,1,3,4:03,5,2943,45,PIT,14,86,18,24,0,0,PIT,NE,(4:03) (Shotgun) B.Roethlisberger pass deep left to H.Miller to PIT 31 for 17 yards (D.McCourty; T.Brown).,1,17,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Deep,left,0,NA,NA,0,NA,NA,H.Miller,1,NA,NA,NA,D.McCourty,T.Brown,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
650,9/10/15,2015091000,3,1,4,3:25,4,2905,38,PIT,31,69,1,24,0,1,PIT,NE,"(3:25) J.Berry punts 50 yards to NE 19, Center-G.Warren. D.Amendola to NE 34 for 15 yards (V.Williams). PENALTY on NE-M.Slater, Illegal Block Above the Waist, 10 yards, enforced at NE 20.",1,15,0,0,NA,NA,NA,0,Clean,Punt,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,D.Amendola,NA,V.Williams,NA,NA,NA,0,NA,NA,0,0,NA,1,NE,NA,M.Slater,10,0,0,0,0,2015
686,9/10/15,2015091000,4,1,1,3:14,4,2894,11,NE,10,90,10,8,0,0,NE,PIT,(3:14) D.Lewis left tackle to NE 18 for 8 yards (W.Allen).,1,8,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,left,tackle,NA,0,NA,NA,NA,W.Allen,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
